Sample	Run	Lane	Remote
SAMEA104142234	4063	1	ERR2017464
SAMEA104142235	4064	1	ERR2017463
SAMEA104142236	4065	1	ERR2017462
SAMEA104142237	4066	1	ERR2017675
SAMEA104142238	4067	1	ERR2017674
SAMEA104142239	4068	1	ERR2017673
SAMEA104142240	4069	1	ERR2017670
SAMEA104142241	4070	1	ERR2017669
SAMEA104142242	4071	1	ERR2017667
SAMEA104142243	4072	1	ERR2017666
SAMEA104142244	4073	1	ERR2017665
SAMEA104142245	4074	1	ERR2017663
SAMEA104142246	4075	1	ERR2017662
SAMEA104142247	4076	1	ERR2017661
SAMEA104142248	4077	1	ERR2017650
SAMEA104142249	4078	1	ERR2017649
SAMEA104142250	4079	1	ERR2017648
SAMEA104142251	4080	1	ERR2017647
SAMEA104142252	4081	1	ERR2017646
SAMEA104142253	4082	1	ERR2017645
SAMEA104142254	4083	1	ERR2017644
SAMEA104142255	4084	1	ERR2017643
SAMEA104142256	4085	1	ERR2017642
SAMEA104142257	4086	1	ERR2017641
SAMEA104142258	4087	1	ERR2017640
SAMEA104142259	4088	1	ERR2017639
SAMEA104142260	4089	1	ERR2017638
SAMEA104142261	4090	1	ERR2017637
SAMEA104142262	4091	1	ERR2017636
SAMEA104142263	4092	1	ERR2017635
SAMEA104142264	4093	1	ERR2017634
SAMEA104142265	4094	1	ERR2017633
SAMEA104142266	4095	1	ERR2017632
SAMEA104142267	4096	1	ERR2017631
SAMEA104142268	4097	1	ERR2017630
SAMEA104142269	4098	1	ERR2017629
SAMEA104142270	4099	1	ERR2017628
SAMEA104142271	4100	1	ERR2017627
SAMEA104142272	4101	1	ERR2017626
SAMEA104142273	4102	1	ERR2017625
SAMEA104142274	4103	1	ERR2017624
SAMEA104142275	4104	1	ERR2017623
SAMEA104142276	4105	1	ERR2017622
SAMEA104142277	4106	1	ERR2017621
SAMEA104142278	4107	1	ERR2017620
SAMEA104142279	4108	1	ERR2017656
SAMEA104142280	4109	1	ERR2017676
SAMEA104142281	4110	1	ERR2017653
SAMEA104142282	4111	1	ERR2017655
SAMEA104142283	4112	1	ERR2017617
SAMEA104142284	4113	1	ERR2017602
SAMEA104142285	4114	1	ERR2017608
SAMEA104142286	4115	1	ERR2017657
SAMEA104142287	4116	1	ERR2017598
SAMEA104142288	4117	1	ERR2017599
SAMEA104142289	4118	1	ERR2017618
SAMEA104142290	4119	1	ERR2017613
SAMEA104142291	4120	1	ERR2017601
SAMEA104142292	4121	1	ERR2017616
SAMEA104142293	4122	1	ERR2017600
SAMEA104142294	4123	1	ERR2017603
SAMEA104142295	4124	1	ERR2017604
SAMEA104142296	4125	1	ERR2017605
SAMEA104142297	4126	1	ERR2017606
SAMEA104142298	4127	1	ERR2017607
SAMEA104142299	4128	1	ERR2017609
SAMEA104142300	4129	1	ERR2017610
SAMEA104142301	4130	1	ERR2017611
SAMEA104142302	4131	1	ERR2017612
SAMEA104142303	4132	1	ERR2017619
SAMEA104142304	4133	1	ERR2017658
SAMEA104142305	4134	1	ERR2017659
SAMEA104142306	4135	1	ERR2017660
SAMEA104142307	4136	1	ERR2017615
SAMEA104142308	4137	1	ERR2017614
SAMEA104142309	4138	1	ERR2017668
SAMEA104142310	4139	1	ERR2017715
SAMEA104142311	4140	1	ERR2017671
SAMEA104142312	4141	1	ERR2017810
SAMEA104142313	4142	1	ERR2017743
SAMEA104142314	4143	1	ERR2017813
SAMEA104142315	4144	1	ERR2017651
SAMEA104142316	4145	1	ERR2017814
SAMEA104142317	4146	1	ERR2017677
SAMEA104142318	4147	1	ERR2017664
SAMEA104142319	4148	1	ERR2017654
SAMEA104142321	4149	1	ERR2017672
SAMEA104142322	4150	1	ERR2017652
SAMEA104142324	4151	1	ERR2017815
SAMEA104142375	4152	1	ERR2017472
SAMEA104142376	4153	1	ERR2017473
SAMEA104142377	4154	1	ERR2017474
SAMEA104142378	4155	1	ERR2017475
SAMEA104142379	4156	1	ERR2017477
SAMEA104142380	4157	1	ERR2017478
SAMEA104142381	4158	1	ERR2017479
SAMEA104142382	4159	1	ERR2017481
SAMEA104142383	4160	1	ERR2017482
SAMEA104142384	4161	1	ERR2017483
