Sample	Run	Lane	Remote
SID5467-4	4833	1	SRR7989828
SID5468-1	4835	1	SRR7989833
SID5468-2	4836	1	SRR7989834
SID5468-3	4837	1	SRR7989938
SID5468-4	4838	1	SRR7989937
SID5469-1	4839	1	SRR7989940
SID5469-2	4840	1	SRR7989939
SID5469-3	4841	1	SRR7989934
SID5469-4	4842	1	SRR7989933
SID5470-3	4843	1	SRR7989936
SID5470-4	4844	1	SRR7989935
SID5473-1	4846	1	SRR7989932
SID5473-2	4847	1	SRR7989931
SID5473-3	4848	1	SRR7989903
SID5473-4	4849	1	SRR7989904
SID5474-3	4850	1	SRR7989901
SID5474-4	4851	1	SRR7989902
SID5476-1	4852	1	SRR7989899
SID5476-2	4853	1	SRR7989900
SID5476-3	4854	1	SRR7989897
SID5476-4	4855	1	SRR7989898
SID5477-1	4856	1	SRR7989895
SID5477-2	4857	1	SRR7989896
SID5477-3	4858	1	SRR7989951
SID5477-4	4859	1	SRR7989950
SID5478-1	4860	1	SRR7989949
SID5478-2	4861	1	SRR7989948
SID5478-3	4862	1	SRR7989947
SID5478-4	4863	1	SRR7989946
SID5479-1	4864	1	SRR7989945
SID5479-2	4865	1	SRR7989944
SID5479-3	4866	1	SRR7989943
SID5479-4	4867	1	SRR7989942
SID5480-1	4868	1	SRR7989907
SID5480-2	4869	1	SRR7989908
SID5480-3	4870	1	SRR7989909
SID5480-4	4871	1	SRR7989910
SID5481-1	4872	1	SRR7989911
SID5481-2	4873	1	SRR7989912
SID5481-3	4874	1	SRR7989913
SID5481-4	4875	1	SRR7989914
