Sample	Run	Lane	Remote
M01.2-V1-stool	1531	1	SRR3313057
M01.2-V2-stool	1532	1	SRR3313068
M01.2-V3-stool	1533	1	SRR3313079
M01.3-V3-stool	1534	1	SRR3313113
M02.4-V1-stool	1535	1	SRR3313050
M02.4-V3-stool	1536	1	SRR3313052
M04.1-V1-stool	1537	1	SRR3313066
M04.1-V3-stool	1538	1	SRR3313067
M04.6-V1-stool	1539	1	SRR3313080
M04.6-V2-stool	1540	1	SRR3313081
M04.6-V3-stool	1541	1	SRR3313082
